original_title,generated_title
"On the Cohomological Derivation of Yang-Mills Theory in the Antifield
  Formalism",['BRST Cohomological Derivation of Interacting Yang-Mills Theory']
"Regularity of solutions of the isoperimetric problem that are close to a
  smooth manifold",['The isoperimetric problem in the calculus of variations']
"Asymptotic theory of least squares estimators for nearly unstable
  processes under strong dependence",['Least squares for nearly unstable linear time series with dependent innovations']
"Teichm\""uller Structures and Dual Geometric Gibbs Type Measure Theory
  for Continuous Potentials",['Dual Geometric Gibbs Type Measure Theory for Continuous Potentials']
"Distributional Schwarzschild Geometry from nonsmooth regularization via
  Horizon. Disributional Rindler spacetime with disributional Levi-Civit\`a
  connection induced vacuum dominance.Unruh effect revisited",['Semiclassical gravity effect at the horizon']
Weight Reduction for Mod l Bianchi Modular Forms,['Realizations of systems of Hecke eigenvalues in the first cohomology with trivial coefficients']
Nonequilibrium phase transition in a spreading process on a timeline,['Directed percolation in non-Markovian time series']
"Nets in groups, minimum length $g$-adic representations, and minimal
  additive complements",['Nets in metric geometry and additive number theory']
"Quantum integrable systems in three-dimensional magnetic fields: the
  Cartesian case",['Integrable three-dimensional systems admitting pairs of commuting second-order integrals of motion']
"Numerical Performance of Compact Fourth Order Formulation of the
  Navier-Stokes Equations",['Numerical performance of the compact fourth order formulation of the Navier-Stokes equations']
Some Subtle Concepts in Fundamental Physics,['Some Misinterpreted Concepts in Fundamental Physics']
Bayesian reasoning in cosmology,['Bayesian inference in astrophysics and cosmology']
"Linear Operators and Operator Functions Associated with Spectral
  Boundary Value Problems",['Spectral Boundary Value Problems and Their Linear Operators']
"Anomalous scaling due to correlations: Limit theorems and self-similar
  processes",['Limit theorems and anomalous scaling for the sum of many correlated random variables']
"Schr\""odinger equation of general potential","['Generalized Schr""odinger Equation']"
"Synchronization of spatio-temporal chaos as an absorbing phase
  transition: a study in 2+1 dimensions",['Synchronization transition between two coupled replicas of spatio-temporal chaos in 2+1 dimensions']
"Tracking Dynamics of Two-Dimensional Continuous Attractor Neural
  Networks",['Two-dimensional continuous attractor neural networks with Gaussian bumps']
"Eigenvalue method to compute the largest relaxation time of disordered
  systems",['Relaxation time of a master equation for Anderson localization tight-binding models']
"Boundedness results for finite flat group schemes over discrete
  valuation rings of mixed characteristic",['Raynaud bounds for finite flat commutative group schemes']
"An alternative approach to determining average distance in a class of
  scale-free modular networks",['Average Distance in Scale-Free Modular Networks']
"Impurity-induced shocks in the asymmetric exclusion process with
  long-range hopping",['Short-range and long-range totally asymmetric exclusion process with a defect site']
Triangulated categories of mixed motives,['Triangulated categories of mixed motives and $K$-theory']
"Conjecture on the maximum cut and bisection width in random regular
  graphs",['Maximum cut and minimal bisection in random regular graphs']
MLD Relations of Pisot Substitution Tilings,['Pisot substitution tilings with three intervals']
Spanning forests and the vector bundle Laplacian,['Cycle rooted spanning forests and Laplacians on surfaces']
Off-line radiometric analysis of Planck/LFI data,['A multi-layered software suite for the Planck Low Frequency Instrument']
Level 1 on-ground telemetry handling in Planck LFI,['The software systems of the Planck Low Frequency Instrument LFI Level 1']
Optimization of Planck/LFI on--board data handling,['Tuning the scientific on-board processing for Planck/LFI']
"LFI Radiometric Chain Assembly (RCA) data handling ""Rachel""","[""Near-realtime on-line data analysis and storage of Planck's Low Frequency Instrument radiometric chains""]"
Abstract elementary classes and accessible categories,"[""Shelah's elementary classes and accessible categories with directed colimits""]"
Charge dynamics in two-electron quantum dots,['Charge oscillations in a two-electron double quantum dot']
Microturbulence studies in RFX-mod,['Drift microinstabilities in reversed field pinches']
Expanding Thurston Maps,['Dynamics of expanding Thurston maps']
Stochastic Reaction-diffusion Equations Driven by Jump Processes,['Martingale solutions to parabolic stochastic partial differential equations driven by jump type noise']
Oriented Cobordism of $\CP^{2k+1}$,['Quasitoric manifolds and oriented manifolds with boundary']
Nonequilibrium Response from the dissipative Liouville Equation,['Dissipative Liouville Equation']
Fitness-driven deactivation in network evolution,['Intrinsic growth and aging of networks with heterogeneous fitness distribution']
"Near-field radiative heat transfer and van der Waals friction between
  closely spaced graphene and amorphous SiO$_2$",['Radiative heat transfer and van der Waals friction between graphene and amorphous SiO$_2$']
Long-range interactions and information transfer in spin chains,['Errors in the transfer of information between spin chains']
"A novel approach to autoparallels for the theories of symmetric
  teleparallel gravity",['Autoparallel Curves and Geodesics in Symmetric Teleparallel Gravity']
Anomalous zipping dynamics and forced polymer translocation,['Anomalous zipping and unzipping dynamics of two polymers connected by a fork']
Suppression of flavor violation in an A4 warped extra dimensional model,['Non abelian discrete flavor symmetries in a custodial RS setup with a bulk Higgs']
Cardinal characteristics and countable Borel equivalence relations,['Cardinal characteristics of the continuum and countable Borel equivalence relations']
"HIgh-Noon States with High Flux of Photons Using coherent Beam
  Stimulated Non-Collinear Parametric Down Conversion",['High fidelity NOON states with non-collinear parametric down conversion in optical interferometers']
Stochastic population oscillations in spatial predator-prey models,['Population oscillations in spatial stochastic predator-prey models']
"Preliminary Results from Integrating Compton Photon Polarimetry in Hall
  A of Jefferson Lab",['Compton Polarimetry at Jefferson Lab Hall A']
Kinetic theory of two-dimensional point vortices with collective effects,['Kinetic theory of two-dimensional point vortices with collective effects']
Representation dimensions of triangular matrix algebras,['Representation finiteness of triangular matrix algebras']
"Gyrofluid simulations of collisionless reconnection in the presence of
  diamagnetic effects",['Effects of the ion Larmor radius on magnetic reconnection']
Planar and Poly-Arc Lombardi Drawings,['k-Lombardi Drawings']
"{Coherent Dissociation $^{12}$C~$\rightarrow$~3$\alpha$ in Lead-Enriched
  Emulsion at 4.5 GeV/$c$~per Nucleon",['Transverse-momentum distributions and correlation characteristics of relativistic $alpha$ particles from the coherent dissociation of a carbon nucleus into three $alpha$ particles in lead-enriched emulsion']
"Generalized Master equation approach to mesoscopic time-dependent
  transport",['Non-equilibrium time-dependent transport through a quantum wire connected to semi-infinite biased leads']
Holomorphic bundles for higher dimensional gauge theory,['Yang-Mills bundles over noncompact Calabi-Yau 3-folds']
"$\mathrm{G}$-theory of $\mathbb{F}_1$-algebras I: the equivariant
  Nishida problem",['$mathrmG$-theory and the Equivariant Nishida Problem']
"Unimodular bimode gravity and the coherent scalar-graviton field as
  galaxy dark matter",['Bimode/scalar-tensor gravity: Origin of dark matter and dark energy']
"Spinor particle. An indeterminacy in the motion of relativistic
  dynamical systems with separately fixed mass and spin",['Spinning Relativistic Particles: A Worldline Paradox']
"TEI Piraeus students' knowledge on the beneficial applications of
  nuclear physics: Nuclear energy, radioactivity - consequences","[""An Empirical Study of Greek Undergraduates' Knowledge and Views on Nuclear Issues""]"
Spin relaxation in Kondo lattices,['Spin relaxation in YbRh2Si2 and YbIr2Si2 coupled to Kondo lattices']
The geometric role of symmetry breaking in gravity,['Spontaneous Lorentz Breaking and Cartan Connection']
"Zamolodchikov-Faddeev Algebra and Quantum Quenches in Integrable Field
  Theories",['Bogoliubov transformations for quantum quenches in integrable models']
On Bayes' theorem for improper mixtures,"[""A Probabilistic Analysis of Bayes's Theorem Based on Imprecise Priors""]"
Protometrics,['Protometrics']
Probing the correlations in composite signals,['Kolmogorov stochastic correlations in composite signals']
Spectral gaps of random graphs and applications,"[""The spectral gap of ErdHos--R'enyi random graphs""]"
"On the periodicity of a class of arithmetic functions associated with
  multiplicative functions",['Periodic and local arithmetic functions associated with multiplicative functions']
"Convergence of invariant measures for singular stochastic diffusion
  equations",['Uniform Mean Mean and Invariant Measures for Singular Stochastic $p$-Laplace Equations']
Diophantine type of interval exchange maps,['Roth-like Diophantine conditions for interval exchange maps']
"How to derive Feynman diagrams for finite-dimensional integrals directly
  from the BV formalism","[""Wick's Theorem from the Batalin-Vilkovisky formalism""]"
Study of nuclear recoils in liquid argon with monoenergetic neutrons,['Experimental study of light pulse shapes and scintillation yields in liquid argon with monoenergetic neutron scattering']
Nonmesonic Hyperon Weak Decay Spectra in $^{12}_{\Lambda}$C},['Nonmesonic Weak Decay of $12_Lambda C$ Hypernuclei']
Mathematical Methods of Theoretical Physics,['Course material for mathematical methods of theoretical physics']
"Ancilla models for quantum operations: For what unitaries does the
  ancilla state have to be physical?",['On the choice of physical state for an ancilla in completely positive linear maps']
"List Decoding Algorithm based on Voting in Groebner Bases for General
  One-Point AG Codes",['List Decoding Algorithm for General One-Point AG Codes']
Shell model description of Ge isotopes,['Shell model study of the low energy region of the Ge isotopes for $38leq Nleq 50$']
The asymptotic density of Wecken maps on surfaces with boundary,['On the density of Wecken maps']
High availability using virtualization - 3RC,['High availability data center using virtualization']
"Quadratic Curvature Gravity with Second Order Trace and Massive Gravity
  Models in Three Dimensions",['Quadratic Curvature Lagrangians and Topologically Massive Gravity']
Quaternionic Salkowski Curves and Quaternionic Similar Curves,"['Quaternionic Salkowski, Anti-Salkowski and Similar Curves']"
Algebraic games - Playing with groups and rings,['Impartial games on abelian groups and algebraic structures']
Measuring Space-Time Geometry over the Ages,['Observational Space-Time Geometry']
D\'ecompositions en hauteurs locales,['A question of Bogomolov type on the space of principally polarized abelian varieties']
Understanding quantization: a hidden variable model,['Quantization without wave function collapse']
Complete loop quantization of a dimension 1+2 Lorentzian gravity theory,['Complete LQG quantization of de Sitter Chern-Simons gravity']
From Photons to Atoms - The Electromagnetic Nature of Matter,['Quantum Mechanics of Atoms and Molecules']
"Categorifying the $sl(2,C)$ Knizhnik-Zamolodchikov Connection via an
  Infinitesimal 2-Yang-Baxter Operator in the String Lie-2-Algebra","['Categorifying the $sl(2,C)$-Knizhnik-Zamolodchikov Connection']"
"Multi-frequency imaging of perfectly conducting cracks via boundary
  measurements",['Imaging of perfectly conducting cracks in a 2-D homogeneous medium using boundary data']
From Baxter Q-Operators to Local Charges,['Local charges for Baxter Q-operators in gl(n) homogeneous spin chains']
"Cosmic bulk flows on 50 {h}^{-1}Mpc scales: A Bayesian hyper-parameter
  method and multishells likelihood analysis",['On the large-scale flow of galaxies']
Prime splittings of Determinantal Ideals,"['Prime splittings of Gr""obner bases and determinantal ideals']"
"Constructing the L2-Graph for Robust Subspace Learning and Subspace
  Clustering",['L2-Graph: Sparse Subspace Learning via Intra-Subspace Projection Dominance']
Quantum Techniques for Stochastic Mechanics,['Stochastic Petri Nets: From Quantum Theory to Stochastic Mechanics']
"Testing in the Presence of Nuisance Parameters: Some Comments on Tests
  Post-Model-Selection and Random Critical Values",['On the validity of some tests for post-model-selection in econometrics']
Emergent gravity: From statistical point of view,['Emergent gravity from holography']
Duplicial algebras and Lagrange inversion,['Hopf algebras and duplicial structures in noncommutative inversion']
"Stability of zero-mode Landau levels in bilayer graphene against
  disorder in the presence of the trigonal warping",['Anomalous sharpness of Landau levels in bilayer graphene against trigonal warping']
Bethe vectors of GL(3)-invariant integrable models,['SU(3)-Invariant Integrable Models Solvable by the Nested Algebraic Bethe Ansatz']
On moments of a polytope,['The inverse moment problem for polytopes']
"Singular solutions in optimal control: second order conditions and a
  shooting algorithm",['Singular Optimal Control Problems with Affine Control Variables']
"Non-autonomous conformal iterated function systems and Moran-set
  constructions","[""Bowen's formula for non-autonomous conformal iterated function systems""]"
Hitchin's equations on a nonorientable manifold,"[""Hitchin's moduli space over a compact non-orientable manifold""]"
Applying geometric K-cycles to fractional indices,['Geometric Model for Twisted $K$-Homology']
Egalitarian Graph Orientations,['Egalitarian Graph Orientations in Telecommunications']
On the quasi-isometric classification of locally compact groups,['Quasi-isometric classification of locally compact groups']
The coupling method for inhomogeneous random intersection graphs,['Coupling method for inhomogeneous random intersection graphs']
Spectral Clustering Based on Local PCA,['Spectral Clustering Based on Local PCA']
Interpretation of searches for supersymmetry with simplified models,['Interpretation of searches for supersymmetry in pp collisions at sqrt(s) = 7 TeV using simplified models']
"Multi-integral representations for associated Legendre and Ferrers
  functions",['Multi-integral representation formulas for associated Legendre and Ferrers functions of the first and second kind']
"On Adaptive Multiple-Shooting Method for Stochastic Multi-Point Boundary
  Value Problems",['An Adaptive Multiple-Shooting Method for Stochastic Multi-Point Boundary Value Problems']
"Search for contact interactions using the inclusive jet pT spectrum in
  pp collisions at sqrt(s) = 7 TeV",['Search for contact interactions in the jet cross section in pp collisions at sqrt(s) = 7 TeV']
On the separability of multivariate functions,['Estimating the Separability of Multivariate Functions']
"A Robbins-Monro type algorithm for computing global minimizer of
  generalized conic functions",['A stochastic algorithm for computing the global minimizer of generalized conic functions']
"The Fundamental Theorem on Symmetric Polynomials: History's First Whiff
  of Galois Theory",['The Fundamental Theorem on Symmetric Polynomials']
Lehmer problem and Drinfeld modules,['A lower bound for the canonical height on Drinfeld modules']
"Spatial Discrete Choice and Spatial Limited Dependent Variable Models: a
  review with an emphasis on the use in Regional Health Economics",['Spatial discrete choice and limited dependent variable models: a survey']
Poisson ensembles of loops of one-dimensional diffusions,['Poisson Ensembles of Loops and Determinantal Point Processes']
"Roughening transition and universality of single step growth models in
  (2+1)-dimensions",['Roughening transition in (2+1)-dimensional crystal growth models']
"Mining Representative Unsubstituted Graph Patterns Using Prior
  Similarity Matrix",['A Pattern Selection Approach to Reduce the Number of Discovered Spatial Motifs']
Continuous and smooth envelopes of topological algebras,['Geometric construction of geometries']
Diffusion on hierarchical systems of weakly-coupled networks,['Entropy production in diffusion dynamics on interconnected networks']
"A short proof that all linear codes are weakly algebraic-geometric using
  Bertini theorems of B. Poonen",['A simple proof that all linear codes are weakly algebraic-geometric']
Nori's Fundamental Group over a non Algebraically Closed Field,"[""Generalization of Nori's Fundamental Group Scheme""]"
"A unified approach to structural limits, and limits of graphs with
  bounded tree-depth",['Limits of Relational Structures and Graphs']
A sub-ensemble theory of ideal quantum measurement processes,['Interpretative principles for ideal measurements']
"Experimental status of particle and astroparticle searches for
  supersymmetry","['Supersymmetry Searches at Colliders, Direct and Indirect Searches']"
A note on a sumset in $\mathbb{Z}_{2k}$,['Bounds on the cardinality of additive sets of $mathbbZ_2k$']
Parameterized Complexity of 1-Planarity,['On the Complexity of 1-Planar Drawings']
"Evolution of the SrTiO$_3$ surface electronic state as a function of
  LaAlO$_3$ overlayer thickness",['Folding of the Fermi Surface at and above 4 u.c. Threshold in LaAlO$_3$/SrTiO$_3$ Interfaces']
Parametrics Resonances of a Forced Modified Rayleigh-Duffing Oscillator,['Resonances and Chaotic Motion of Forced Modified Rayleigh-Duffing Oscillator']
"On the Limit Set of Root Systems of Coxeter Groups acting on Lorentzian
  spaces",['Limit sets of Coxeter groups acting on Lorentzian spaces']
Half exact functors associated with cotorsion pairs on exact categories,['Hearts of twin cotorsion pairs on exact categories']
On algebras of finite Cohen-Macaulay type,['Decomposition of Gorenstein-projective modules']
Entanglement entropy from surface terms in general relativity,['Surface terms and entanglement entropy']
"Would be the photon a composed particle? quantization of field fluxes in
  electromagnetic radiation",['On the Quantization of the Radiation Fluxes']
Optimal filtering and the dual process,['Optimal filtering and duality for Markov processes']
The wave-function description of the electromagnetic field,['Prepotentials of Electromagnetic Fields']
"Finite-Length and Asymptotic Analysis of Correlogram for Undersampled
  Data",['Correlogram for Undersampled Data']
A network model for cellular aging,['Cellular aging as an emergent property of a stochastic gene interaction network']
Estimation of False Discovery Proportion with Unknown Dependence,['Consistent Estimation of False Discovery Proportion under Unknown Covariance']
"Rational conjugacy of torsion units in integral group rings of
  non-solvable groups",['Rational conjugacy of torsion units in integral group rings and applications']
"Conditional Expectation of a Markov Kernel Given Another with Some
  Applications in Statistical Inference and Disease Diagnosis",['Conditional expectation of a Markov kernel with applications to clinical diagnosis']
Random subgraphs make identification affordable,['Identifying Codes in Spanning Subgraphs']
Layered Separators in Minor-Closed Graph Classes with Applications,['Layered Separators of Bounded Width']
"Wave function of the Universe, Preferred reference frame effects and
  metric signature transition",['Classical and Quantum Cosmology of Brans Dicke Scalar Field with Variable Cosmological Parameter']
Incremental Network Design with Minimum Spanning Trees,['Greedy incremental network design with minimum spanning trees']
"Frequency-Domain Stochastic Modeling of Stationary Bivariate or
  Complex-Valued Signals",['Joint Frequency-Domain Stochastic Modeling of Two Jointly Observed Signals']
AstraKahn: A Coordination Language for Streaming Networks,['Towards a complete and complete definition document for C++ with an application to data and instrumentation layers']
The Brauer group is not a derived invariant,['A note on Brauer groups of derived-equivalent Calabi-Yau 3-folds']
The two faces of Hawking radiation,['Horizon-Infinity Duality']
"Regularity of Wiener functionals under a H\""ormander type condition of
  order one","['The H""ormander condition of order one for diffusion processes']"
Associahedra via spines,['The spine of a triangulation as its dual tree']
Relativistic Black-Scholes model,['Relativistic Extension of the Black-Scholes Equation']
The Vectorial $\lambda$-Calculus,['Linear-Algebraic Typed $lambda$-Calculus']
"Measurement of identified charged hadron spectra with the ALICE
  experiment at the LHC",['Measurement of the identified charged hadron $p_t$ spectra with ALICE']
Is Interstellar travel to an exoplanet Possible?,['On the Future of Space Travel']
"The genesis of the internal resistance of a battery -- a physical
  perspective",['The Chemical Potential Depends the Current Passing Through a Battery']
Notoph-Graviton-Photon Coupling,['Relativistic Quantum Mechanics of Antisymmetric Tensor Fields with Photon and Graviton']
Boundary crossover in non-equilibrium growth processes,['Boundary roughness of the semi-infinite Edwards-Wilkinson model']
"Approximation Algorithms for the Load Balanced Capacitated Vehicle
  Routing Problem",['Approximation Algorithms for the Load Balanced Capacitated Vehicle Routing Problem']
Solving optimal stopping problems via empirical dual optimization,['Solving optimal stopping problems based on their dual representation']
Adversarial Multiple Access Channels with Individual Injection Rates,['Distributed Broadcasting in Synchronous Multiple-Access Channels with Adversarial Injection']
Regression Trees for Longitudinal Data,['Longitudinal regression tree for longitudinal data based on combination of baseline covariates']
Hydrodynamic models of particle production,['Elliptic and triangular flow in proton-lead collisions at the LHC']
Cohomological obstructions in locally variational field theories,['Cohomological obstructions to the existence of global conserved quantities']
"Universal Limit Theorems in Graph Coloring Problems With Connections to
  Extremal Combinatorics",['Limit theorems for monochromatic edges in random graphs']
The Generalized Traveling Salesman Problem solved with Ant Algorithms,['An Effective Meta-Heuristic Algorithm for the Generalized Traveling Salesman Problem']
"Brascamp-Lieb type inequalities on weighted Riemannian manifolds with
  boundary",['Generalized Brascamp-Lieb type inequalities on Riemannian manifolds']
"Feature Selection with Annealing for Computer Vision and Big Data
  Learning",['Efficient Sparse Learning with Variable Screening']
A primal-dual algorithm for BSDEs,['Primal-dual backward dynamic programming for BSDEs']
Quantum Algorithms for Matrix Products over Semirings,['Quantum Algorithms for Matrix Products over Semirings']
"Pseudospin symmetry: Recent progress with supersymmetric quantum
  mechanics",['Pseudospin symmetry in nuclear single-particle spectra']
How many is different? Answer from ideal Bose gas,['How many molecules are needed to form water?']
Rosenberg's Reconstruction Theorem (after Gabber),"[""Rosenberg's spectrum for quasi-coherent sheaves""]"
Mixing in high-dimensional expanders,['Mixing Lemmas for Complexes of Arbitrary Dimension']
"Linearized eigenvalues for a free boundary problem modeling two-phase
  tumor growth",['Null sequences for a linearized eigenvalue problem arising in tumor growth']
Tropical approach to Nagata's conjecture in positive characteristic,['Tropical geometry and the volume of a Newton polytope']
Arratia flow with drift and the Trotter formula for Brownian web,['The Trotter formula for the Arratia flow']
"On Convergent Finite Difference Schemes for Variational - PDE Based
  Image Processing",['Adaptive Anisotropic Huber Functional Based Image Restoration']
"Second order WSGD operators II: A new family of difference schemes for
  space fractional advection diffusion equation","['Second order weighted and shifted Gr""unwald difference operators for space fractional partial differential equations and their applications']"
Unramified Brauer classes on cyclic covers of the projective plane,['Brauer classes fixed by Aut(X/P2) on p-cyclic covers']
Remarks on limit theorems for reversible Markov processes,['Backward-forward martingale decompositions for functions of reversible Markov chains']
"The Log-Volume of Optimal Codes for Memoryless Channels, Asymptotically
  Within A Few Nats",['Tight Lower and Upper Bounds for the Maximum Volume of Codes Subject to Average Decoding Error Probability']
Some implications of the $2$-fold Bailey lemma,['On the $2$-fold Bailey lemma']
Is modern science evolving in the wrong direction?,['The Decline of International Collaboration in the 21st Century']
"Efficient Quantum Algorithms for Analyzing Large Sparse Electrical
  Networks",['Quantum algorithms for sparse electrical networks']
Quantum spin systems on infinite lattices,['Introduction to quantum mechanics of infinite systems']
"The classification of Nichols algebras over groups with finite root
  system of rank two",['Nichols algebras of the direct sum of pairs of absolutely simple Drinfeld modules over groups']
Connected sums and finite energy foliations I: Contact connected sums,['Finite energy foliations of 3-manifolds']
"Super-polylogarithmic hypergraph coloring hardness via low-degree long
  codes",['Quasi-NP-Hardness of Hypergraph Coloring Using the Low-Degree Polynomial Code']
On the $q$-Pell sequences and sums of tails,"['$q$-Pell Sequences, Weighted Partition Theorems and $L$-Functions']"
Instruction sequences expressing multiplication algorithms,['Instruction sequences for computing the long and short multiplication algorithms']
Efficient Random-Walk Methods for Approximating Polytope Volume,['Efficient and Accurate Volume Approximation of Birkhoff Polytopes']
An alternative approach to equivariant stable homotopy theory,['Equivariant stable homotopy theory']
"Multi-particle localization for weakly interacting Anderson
  tight-binding models",['Stability of the one-dimensional multi-particle Anderson tight-binding model']
"On the Energy Self-Sustainability of IoT via Distributed Compressed
  Sensing",['Distributed Compressed Sensing for Energy Self-Sustainability in Internet of Things']
"A Utility Theory Based Interactive Approach to Robustness in Linear
  Optimization",['Interactive Cutting-Plane Algorithms for Robust Optimization']
Generalized Quantum Arthur-Merlin Games,['Generalized Quantum Arthur-Merlin Games']
Coupling methods for random topological Markov chains,['A spectral gap for the transfer operators associated with random topological Markov chains and shift spaces']
A Dundas-McCarthy theorem for bimodules over exact categories,['Split square zero extensions of bimodules']
"Quantum Ensemble Classification: A Sampling-based Learning Control
  Approach",['Quantum Ensemble Classification via Sampling-based Learning Control']
Extinction times in the subcritical stochastic SIS logistic epidemic,['The near-critical stochastic SIS logistic epidemic']
"Element-wise uniqueness, prior knowledge, and data-dependent resolution",['Data-dependent uniqueness of regularized solutions']
Commutator estimates on contact manifolds and applications,['Sharp Calderon commutator estimates on Heisenberg manifolds']
On Thompson's group T and algebraic K-theory,"[""The infinite generation of Thompson's group T""]"
Multilevel Richardson-Romberg extrapolation,['A Multilevel Richardson-Romberg Estimator for Diffusion Processes']
Melikyan algebra is a deformation of a Poisson algebra,['Restricted Melikyan algebra of dimension 125 is a Poisson algebra']
"Characteristic local discontinuous Galerkin methods for solving
  time-dependent convection-dominated Navier-Stokes equations",['Symmetric variational formulations for time-dependent convection-dominated Navier-Stokes equations']
"Characterization of multipartite entanglement in terms of local
  transformations",['Invariant polynomial rings of local unitary and general linear groups']
"Equivariant bordism of 2-torus manifolds and unitary toric manifolds--a
  survey",['Equivariant bordism of 2-torus and unitary toric manifolds']
"IMRO: a proximal quasi-Newton method for solving $l_1$-regularized least
  square problem",['IMRO: A Proximal Quasi-Newton Method for Least Square Problems']
Interpolation between Hilbert spaces,['Interpolation between Hilbert spaces']
Dirac Tori,['Dirac tori in conformal immersions']
