Original Title,Generated Title,BLEU Score,ROUGE-1 Score,ROUGE-2 Score,ROUGE-L Score,Cosine Similarity
"Dynamics, Control, and Estimation for Aerial Robots Tethered by Cables
  or Bars",Proceedings ML Family / OCaml Users and Developers workshops,7.536728468577135e-232,0.09523809034013632,0.0,0.09523809034013632,0.054473055484747984
"Accelerating Generalized Linear Models with MLWeaving: A
  One-Size-Fits-All System for Any-precision Learning (Technical Report)",Proceedings ML Family / OCaml Users and Developers workshops,0.0,0.0,0.0,0.0,0.0
Automatic Software Repair: a Bibliography,"Alleviating Patch Overfitting with Automatic Test Generation: A Study of
  Feasibility and Effectiveness for the Nopol Repair System",8.844844403089351e-232,0.08695651833648407,0.0,0.08695651833648407,0.14577994856555235
"Charge-to-Spin Conversion by the Rashba-Edelstein Effect in 2D van der
  Waals Heterostructures up to Room Temperature",Unconventional charge-spin conversion in Weyl-semimetal WTe2,2.1986007635391227e-232,0.09090908694214893,0.0,0.09090908694214893,0.1891385872961234
"RANS Simulations of Turbulent Round Jets in the Presence of Density
  Difference and Comparison with High-Resolution Experimental Data","Measurement of turbulent spatial structure and kinetic energy spectrum
  by exact temporal-to-spatial mapping",7.766827241645122e-232,0.1333333284222224,0.0,0.1333333284222224,0.12103305704984244
"The Ethical Dilemma when (not) Setting up Cost-based Decision Rules in
  Semantic Segmentation",Proceedings ML Family / OCaml Users and Developers workshops,0.0,0.0,0.0,0.0,0.0
"Overfitting Bayesian Mixtures of Factor Analyzers with an Unknown Number
  of Components","Clustering Multivariate Data using Factor Analytic Bayesian Mixtures
  with an Unknown Number of Components",0.4052587697205425,0.7199999950720002,0.4999999950347222,0.639999995072,0.5762992116029144
"When Simpler Data Does Not Imply Less Information: A Study of User
  Profiling Scenarios with Constrained View of Mobile HTTP(S) Traffic","The General Law Principles for Protection the Personal Data and their
  Importance",4.623726644614724e-232,0.062499995312500355,0.0,0.062499995312500355,0.029703681812407477
"Methods to induce perpendicular magnetic anisotropy in full-Heusler
  Co2FeSi thin layers in a magnetic tunnel junction structure",Proceedings ML Family / OCaml Users and Developers workshops,0.0,0.0,0.0,0.0,0.0
"Secrecy Outage Analysis of Non-Orthogonal Spectrum Sharing for
  Heterogeneous Cellular Networks","Security-Reliability Tradeoff for Distributed Antenna Systems in
  Heterogeneous Cellular Networks",3.5879471085711124e-78,0.3809523759637189,0.21052631080332423,0.3809523759637189,0.21288995074902356
"A task in a suit and a tie: paraphrase generation with semantic
  augmentation","Paraphrases as Foreign Languages in Multilingual Neural Machine
  Translation",6.744160953836975e-232,0.09523809034013632,0.0,0.09523809034013632,0.05629715757507138
"The good, the bad, and the ugly: Bayesian model selection produces
  spurious posterior probabilities for phylogenetic trees",Proceedings ML Family / OCaml Users and Developers workshops,4.324223740015325e-232,0.07999999539200027,0.0,0.07999999539200027,0.03894906299301254
"Software Defined Networks based Smart Grid Communication: A
  Comprehensive Survey","Internet of Things-aided Smart Grid: Technologies, Architectures,
  Applications, Prototypes, and Future Research Directions",9.594503055152632e-232,0.08695651682419688,0.0,0.08695651682419688,0.09915759724690268
Brauer groups on K3 surfaces and arithmetic applications,Unramified Brauer classes on cyclic covers of the projective plane,1.2183324802375697e-231,0.22222221728395072,0.0,0.22222221728395072,0.12735952979479354
"Long term X-ray variability characteristics of the narrow-line Seyfert 1
  galaxy RE~J1034+396",High energy properties of the flat spectrum radio quasar 4C 50.11,5.001499466263614e-155,0.16666666166666683,0.09090908590909119,0.16666666166666683,0.0845798608014702
"Magnetoresistance in Hybrid Pt/CoFe2O4 Bilayers Controlled by Competing
  Spin Accumulation and Interfacial Chemical Reconstruction",Observation of Spin Nernst effect in Platinum,4.900008468089985e-232,0.19047618603174613,0.0,0.095238090793651,0.1103075208396138
A Reduced Study for Nematic Equilibria on Two-Dimensional Polygons,"Refinement of the Equilibrium of Public Goods Games over Networks:
  Efficiency and Effort of Specialized Equilibria",9.109159947227211e-232,0.0869565169754256,0.0,0.0869565169754256,0.037429037728181624
"Deep Learning for Plasma Tomography and Disruption Prediction from
  Bolometer Data",Image Fusion With Cosparse Analysis Operator,0.0,0.0,0.0,0.0,0.0
Rhythm Dungeon: A Blockchain-based Music Roguelike Game,A Security Case Study for Blockchain Games,1.1200407237786664e-231,0.14285713785714302,0.0,0.14285713785714302,0.0845798608014702
"An Information-theoretic Approach to Machine-oriented Music
  Summarization","Bengali Abstractive News Summarization(BANS): A Neural Attention
  Approach",1.0832677820940877e-231,0.13333332835555575,0.0,0.13333332835555575,0.13507348367087132
A Study of the Gamma-Ray Burst Fundamental Plane,"Multivariate $t$-Mixtures-Model-based Cluster Analysis of BATSE Catalog
  Establishes Importance of All Observed Parameters, Confirms Five Distinct
  Ellipsoidal Sub-populations of Gamma Ray Bursts",8.412065649527267e-232,0.07142856734693902,0.0,0.07142856734693902,0.19606231319683612
Electrostatically driven helical plasma state,"Interpreting the time variable RM observed in the core region of the TeV
  blazar Mrk 421",0.0,0.0,0.0,0.0,0.0
"Energy-Aware Disk Storage Management: Online Approach with Application
  in DBMS","Dimensioning and Power Management of Hybrid Energy Storage Systems for
  Electric Vehicles with Multiple Optimization Criteria",1.0832677820940877e-231,0.1538461491124262,0.0,0.1538461491124262,0.17998891881180665
Bilinear form test statistics for extremum estimation,Proceedings ML Family / OCaml Users and Developers workshops,0.0,0.0,0.0,0.0,0.0
"A Systematic Review of the Digital Interventions for Fighting COVID-19:
  The Bangladesh Perspective",Proceedings ML Family / OCaml Users and Developers workshops,0.0,0.0,0.0,0.0,0.0
"Probing dark excitons in atomically thin semiconductors via near-field
  coupling to surface plasmon polaritons",Spin-Valley Locking Effect in Defect States of Monolayer MoS$_2$,6.034940380417626e-232,0.0869565169754256,0.0,0.0869565169754256,0.041007060023442815
Conditional decoupling of random interlacements,Two-dimensional Brownian random interlacements,7.422680762211792e-155,0.4444444395061729,0.2857142808163266,0.4444444395061729,0.25233420143369617
"Electron-Phonon Interaction in Ternary Rare-Earth Copper Antimonides
  LaCuSb2 and La(Cu0.8Ag0.2)Sb2 probed by Yanson Point-Contact Spectroscopy",Proceedings ML Family / OCaml Users and Developers workshops,5.400301927028362e-232,0.07692307239644997,0.0,0.07692307239644997,0.04080425616645349
GraphIt: A High-Performance DSL for Graph Analytics,Optimizing Ordered Graph Algorithms with GraphIt,9.853445011990208e-232,0.1538461488757398,0.0,0.1538461488757398,0.18443191662261307
