original_titles,generated_titles
"On the Cohomological Derivation of Yang-Mills Theory in the Antifield
  Formalism",['BRST Cohomological Derivation of Interacting Yang-Mills Theory']
"Regularity of solutions of the isoperimetric problem that are close to a
  smooth manifold",['On the isoperimetric problem in the calculus of variations']
"Asymptotic theory of least squares estimators for nearly unstable
  processes under strong dependence",['Least squares procedures for nearly unstable linear time series with dependent innovations']
"Teichm\""uller Structures and Dual Geometric Gibbs Type Measure Theory
  for Continuous Potentials",['A Dual Geometric Gibbs Type Measure Theory for Certain Continuous Potentials']
"Distributional Schwarzschild Geometry from nonsmooth regularization via
  Horizon. Disributional Rindler spacetime with disributional Levi-Civit\`a
  connection induced vacuum dominance.Unruh effect revisited",['Semiclassical gravity effect at the horizon and acceleration']
Weight Reduction for Mod l Bianchi Modular Forms,['Realizations of systems of Hecke eigenvalues in the first cohomology with trivial coefficients']
Nonequilibrium phase transition in a spreading process on a timeline,['Directed percolation transition in non-Markovian evolutions']
"Nets in groups, minimum length $g$-adic representations, and minimal
  additive complements",['Nets in Number Theory']
"Quantum integrable systems in three-dimensional magnetic fields: the
  Cartesian case",['Integrable systems with magnetic fields and pairs of second-order integrals of motion']
"Numerical Performance of Compact Fourth Order Formulation of the
  Navier-Stokes Equations",['Numerical performance of the compact fourth order formulation of the Navier-Stokes equations']
Some Subtle Concepts in Fundamental Physics,['Some Subtle Concepts in Fundamental Physics']
Bayesian reasoning in cosmology,['Bayesian inference in astrophysics and cosmology']
"Linear Operators and Operator Functions Associated with Spectral
  Boundary Value Problems",['Spectral Boundary Value Problems and Their Linear Operators']
"Anomalous scaling due to correlations: Limit theorems and self-similar
  processes",['Limit theorems and anomalous scaling for the sum of many correlated random variables']
"Schr\""odinger equation of general potential","['General Form of Schr""odinger Equation']"
"Synchronization of spatio-temporal chaos as an absorbing phase
  transition: a study in 2+1 dimensions",['Synchronization transition between two coupled replicas of spatio-temporal chaotic systems in 2+1 dimensions']
"Tracking Dynamics of Two-Dimensional Continuous Attractor Neural
  Networks",['Two-dimensional continuous attractor neural networks with Gaussian bump']
"Eigenvalue method to compute the largest relaxation time of disordered
  systems",['Activated relaxation time for finite-size disordered systems']
"Boundedness results for finite flat group schemes over discrete
  valuation rings of mixed characteristic",['Group schemes of mixed characteristic and applications']
"An alternative approach to determining average distance in a class of
  scale-free modular networks",['Average Distance in Scale-Free Modular Networks']
"Impurity-induced shocks in the asymmetric exclusion process with
  long-range hopping",['Shock phase transition in the presence of a defect site in TASEP']
Triangulated categories of mixed motives,['Mixed Weil cohomologies and rational motives']
"Conjecture on the maximum cut and bisection width in random regular
  graphs",['Maximum cut and minimal bisection in random regular graphs']
MLD Relations of Pisot Substitution Tilings,['Pisot substitution tilings with three intervals']
Spanning forests and the vector bundle Laplacian,['Matrix-Tree Theorems for Laplacians on Bundles and Surfaces']
Off-line radiometric analysis of Planck/LFI data,['Planck/LIFE software suite: a cross-platform software suite for in-flight analysis of the Planck LFI']
Level 1 on-ground telemetry handling in Planck LFI,['The software systems of the Planck Low Frequency Instrument Level 1']
Optimization of Planck/LFI on--board data handling,['Scientific on-board data processing optimized for Planck/LFI']
"LFI Radiometric Chain Assembly (RCA) data handling ""Rachel""","[""Near-Realtime Data Analysis and Storage of Planck's Low Frequency Instrument Radiometric Chains""]"
Abstract elementary classes and accessible categories,['Abstract elementary classes and categories with directed colimits']
Charge dynamics in two-electron quantum dots,['Charge oscillations in a two-electron double quantum dot']
Microturbulence studies in RFX-mod,['Electrostatic and Electromagnetic Microinstabilities in the RFX-mod']
Expanding Thurston Maps,['Expanding Thurston maps and visual spheres']
Stochastic Reaction-diffusion Equations Driven by Jump Processes,['Martingale solutions to a class of parabolic stochastic partial differential equations driven by jump type noise']
Oriented Cobordism of $\CP^{2k+1}$,['Quasitoric manifolds and oriented manifolds with boundary']
Nonequilibrium Response from the dissipative Liouville Equation,['Response of nonequilibrium systems to external forces']
Fitness-driven deactivation in network evolution,['Growth and Aging of Structured Networks with Intrinsic Fitness']
"Near-field radiative heat transfer and van der Waals friction between
  closely spaced graphene and amorphous SiO$_2$",['Radiative heat transfer and van der Waals friction in graphene on SiO$_2$']
Long-range interactions and information transfer in spin chains,['Errors in the transfer of entangled states']
"A novel approach to autoparallels for the theories of symmetric
  teleparallel gravity",['Autoparallel Geodesics in Symmetric Teleparallel Gravity']
Anomalous zipping dynamics and forced polymer translocation,['Anomalous zipping and unzipping dynamics of two polymers connected by a single end']
Suppression of flavor violation in an A4 warped extra dimensional model,['Non abelian discrete A4 flavor symmetry in a custodial RS setup with bulk Higgs']
Cardinal characteristics and countable Borel equivalence relations,['Cardinal characteristics of the continuum and countable Borel equivalence relations']
"HIgh-Noon States with High Flux of Photons Using coherent Beam
  Stimulated Non-Collinear Parametric Down Conversion",['High fidelity NOON states for optical interferometers using coherent beam-stimulated non-collinear down conversion']
Stochastic population oscillations in spatial predator-prey models,['Population oscillations in spatial stochastic predator-prey models']
"Preliminary Results from Integrating Compton Photon Polarimetry in Hall
  A of Jefferson Lab",['Compton Polarimetry in Jefferson Lab Hall A']
Kinetic theory of two-dimensional point vortices with collective effects,['Kinetic theory of two-dimensional point vortices taking collective effects into account']
Representation dimensions of triangular matrix algebras,['Representation finiteness of triangular matrix algebras']
"Gyrofluid simulations of collisionless reconnection in the presence of
  diamagnetic effects",['Effect of the Larmor radius on magnetic reconnection in hot QCD']
Planar and Poly-Arc Lombardi Drawings,['K-Lombardi Drawings']
"{Coherent Dissociation $^{12}$C~$\rightarrow$~3$\alpha$ in Lead-Enriched
  Emulsion at 4.5 GeV/$c$~per Nucleon",['Transverse-momentum distributions and correlation characteristics of relativistic $alpha$ particles from the coherent dissociation of a carbon nucleus into three $alpha$ particles at 4.5 GeV/$c$']
"Generalized Master equation approach to mesoscopic time-dependent
  transport",['Non-equilibrium time-dependent currents in a quantum wire coupled to semi-infinite biased leads']
Holomorphic bundles for higher dimensional gauge theory,['Yang-Mills bundles over building blocks']
"$\mathrm{G}$-theory of $\mathbb{F}_1$-algebras I: the equivariant
  Nishida problem",['$mathrmG$-theory and the Equivariant Nishida Problem']
"Unimodular bimode gravity and the coherent scalar-graviton field as
  galaxy dark matter",['Bimode/Scalar Gravity: Origin of Dark Matter and Dark Energy']
"Spinor particle. An indeterminacy in the motion of relativistic
  dynamical systems with separately fixed mass and spin",['On the Worldline Paradox for Spinning Relativistic Particles']
"TEI Piraeus students' knowledge on the beneficial applications of
  nuclear physics: Nuclear energy, radioactivity - consequences","[""Students' knowledge and perceptions on nuclear energy, nuclear applications, radioactivity and their consequences""]"
Spin relaxation in Kondo lattices,['Spin relaxation in Kondo lattices: Application to YbRh2Si2 and YbIr2Si2']
The geometric role of symmetry breaking in gravity,"['Symmetry, Cartan Connections, and Gravity']"
"Zamolodchikov-Faddeev Algebra and Quantum Quenches in Integrable Field
  Theories",['Zamolodchikov-Faddeev Algebra Approach to Quantum Quenches in Integrable Models']
On Bayes' theorem for improper mixtures,"[""Bayes's Theorem with Imprecise Priors""]"
Protometrics,['Protometrics']
Probing the correlations in composite signals,['Randomness and Kolmogorov Descriptor in the Classification of Astrophysical Signals']
Spectral gaps of random graphs and applications,"[""Spectral Gaps of Random ErdHos--R'enyi Graphs""]"
"On the periodicity of a class of arithmetic functions associated with
  multiplicative functions",['Periodic and minimal periods of arithmetic functions containing a multiplicative function']
"Convergence of invariant measures for singular stochastic diffusion
  equations",['Uniform mean approximation for the solutions to stochastic diffusion and $p$-Laplace equations']
Diophantine type of interval exchange maps,['Roth-like Diophantine conditions for interval exchange maps']
"How to derive Feynman diagrams for finite-dimensional integrals directly
  from the BV formalism","[""Wick's Theorem from the homology of BV algebras""]"
Study of nuclear recoils in liquid argon with monoenergetic neutrons,['Neutron scattering on a liquid argon target for neutrino dark matter searches']
Nonmesonic Hyperon Weak Decay Spectra in $^{12}_{\Lambda}$C},['Nonmesonic weak decay of $Lambda N to nN$ hypernuclei intranuclear cascades']
Mathematical Methods of Theoretical Physics,['Course material for mathematical methods of theoretical physics']
"Ancilla models for quantum operations: For what unitaries does the
  ancilla state have to be physical?",['On the choice of a physical state for an ancilla in complete positivity']
"List Decoding Algorithm based on Voting in Groebner Bases for General
  One-Point AG Codes",['A Decoding Algorithm for General One-Point AG Codes']
Shell model description of Ge isotopes,['Shell model study of low energy region of the spectra in Ge isotopes for $38leq Nleq 50$']
The asymptotic density of Wecken maps on surfaces with boundary,['The Wecken number of surfaces with boundary increasing at high rank']
High availability using virtualization - 3RC,['Redundancy System for a Data Center in Virtual Environment']
"Quadratic Curvature Gravity with Second Order Trace and Massive Gravity
  Models in Three Dimensions",['Quadratic Curvature Lagrangians with Second Order Trace and Topologically Massive Gravity']
Quaternionic Salkowski Curves and Quaternionic Similar Curves,"['Quaternionic Salkowski, Quaternionic Anti-Salkowski and Quaternionic Similar Curves']"
Algebraic games - Playing with groups and rings,['The nimbers of squares']
Measuring Space-Time Geometry over the Ages,['Measuring Space-Time Geometry with Observables']
D\'ecompositions en hauteurs locales,['On the Bogomolov question for jacobian varieties of hyperelliptic curves']
Understanding quantization: a hidden variable model,['Quantization without wave function collapse']
Complete loop quantization of a dimension 1+2 Lorentzian gravity theory,['Complete LQG quantization of a Lorentzian gravity model in D = 1 + 2 spacetime']
From Photons to Atoms - The Electromagnetic Nature of Matter,['Quantum Mechanics of Atoms and Molecules']
"Categorifying the $sl(2,C)$ Knizhnik-Zamolodchikov Connection via an
  Infinitesimal 2-Yang-Baxter Operator in the String Lie-2-Algebra","['Categorifying the $sl(2,C)$-Knizhnik-Zamolodchikov Connection']"
"Multi-frequency imaging of perfectly conducting cracks via boundary
  measurements",['Imaging of perfectly conducting cracks in a 2-D homogeneous medium']
From Baxter Q-Operators to Local Charges,['Baxter Q-operator construction and local charges for gl(n) spin chains']
"Cosmic bulk flows on 50 {h}^{-1}Mpc scales: A Bayesian hyper-parameter
  method and multishells likelihood analysis",['The galaxy peculiar velocity field as a probe of large-scale structure']
Prime splittings of Determinantal Ideals,"['Prime splittings of Gr""obner bases and determinantal ideals']"
"Constructing the L2-Graph for Robust Subspace Learning and Subspace
  Clustering",['L2-Graph: A Sparse Similarity Graph for Subspace Learning']
Quantum Techniques for Stochastic Mechanics,['Stochastic Petri Nets and the Overlap of Quantum Mechanics and Stochastic Mechanics']
"Testing in the Presence of Nuisance Parameters: Some Comments on Tests
  Post-Model-Selection and Random Critical Values",['On some tests post-model-selection (and other tests) not having desirable size properties']
Emergent gravity: From statistical point of view,['Emergent gravity from holography']
Duplicial algebras and Lagrange inversion,['Hopf subalgebras of the algebra of parking functions and duplicial structures']
"Stability of zero-mode Landau levels in bilayer graphene against
  disorder in the presence of the trigonal warping",['Topological stability of Landau levels in bilayer graphene against chiral disorder']
Bethe vectors of GL(3)-invariant integrable models,['Yangian actions on Bethe vectors and SU(3)-invariant models']
On moments of a polytope,['The inverse moment problem for polytopes']
"Singular solutions in optimal control: second order conditions and a
  shooting algorithm",['Singular optimal solutions in affine control problems']
"Non-autonomous conformal iterated function systems and Moran-set
  constructions","[""Bowen's formula for Moran set constructions""]"
Hitchin's equations on a nonorientable manifold,"[""Hitchin's moduli space over a nonorientable manifold""]"
Applying geometric K-cycles to fractional indices,['Geometric Model for Twisted K-Homology']
Egalitarian Graph Orientations,['Egalitarian Graph Orientations in Degree-Dependent Time']
On the quasi-isometric classification of locally compact groups,['Quasi-isometric classification of locally compact groups']
The coupling method for inhomogeneous random intersection graphs,['Threshold functions for random intersection graphs']
Spectral Clustering Based on Local PCA,['Spectral Clustering Based on Local PCA']
Interpretation of searches for supersymmetry with simplified models,['Interpretation of searches for supersymmetry in pp collisions at sqrt(s) = 7 TeV using simplified models']
"Multi-integral representations for associated Legendre and Ferrers
  functions",['Multi-Derivative and Multi-Integral Representation Formulas for the Associated Legendre and Ferrers Functions of the First and Second Kind']
"On Adaptive Multiple-Shooting Method for Stochastic Multi-Point Boundary
  Value Problems",['An Adaptive Multiple-Shooting Method for Stochastic Multi-Point Boundary Value Problems']
"Search for contact interactions using the inclusive jet pT spectrum in
  pp collisions at sqrt(s) = 7 TeV",['Search for contact interactions in the jet cross section in pp collisions at sqrt(s) = 7 TeV']
On the separability of multivariate functions,['Estimating the Separability of Multivariate Functions']
"A Robbins-Monro type algorithm for computing global minimizer of
  generalized conic functions",['Computing the global minimizer of generalized conic functions']
"The Fundamental Theorem on Symmetric Polynomials: History's First Whiff
  of Galois Theory",['The Fundamental Theorem on Symmetric Polynomials']
Lehmer problem and Drinfeld modules,['Canonical height on Drinfeld modules of characteristic 0']
"Spatial Discrete Choice and Spatial Limited Dependent Variable Models: a
  review with an emphasis on the use in Regional Health Economics",['Spatial discrete choice and limited dependent variable models: a survey']
Poisson ensembles of loops of one-dimensional diffusions,['Poisson Ensembles of Loops and Determinantal Point Processes']
